nohup: ignoring input
use_cuda: True
use_cuda: True
Loading syncnet from checkpoint: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/sync_original/lipsync_expert.pth
Load checkpoint from: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/sync_original/lipsync_expert.pth
Load checkpoint from: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/gen_checkpoint_384_4_000096000_2024-01-01.pth
Load optimizer state from /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/gen_checkpoint_384_4_000096000_2024-01-01.pth
Load checkpoint from: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/disc_checkpoint_384_4_000096000_2024-01-01.pth
Load optimizer state from /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/disc_checkpoint_384_4_000096000_2024-01-01.pth
Setting up [LPIPS] perceptual loss: trunk [alex], v[0.1], spatial [off]
Loading model from: /mnt/sdb/miniconda3/envs/wav2lip/lib/python3.8/site-packages/lpips/weights/v0.1/alex.pth
/mnt/sdb/miniconda3/envs/wav2lip/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/mnt/sdb/miniconda3/envs/wav2lip/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=AlexNet_Weights.IMAGENET1K_V1`. You can also use `weights=AlexNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Step 96053 | L1: 0.07167 | Vgg: 0.1119 | SW: 0.03 | Sync: 16.91 | DW: 0.025 | Percep: 1.65 | Fake: 0.0, Real: 0.0 | Load: 0.02414, Train: 0.4389
Step 96054 | L1: 0.07158 | Vgg: 0.1122 | SW: 0.03 | Sync: 16.65 | DW: 0.025 | Percep: 1.65 | Fake: 0.0, Real: 0.0 | Load: 0.02496, Train: 0.4435
Step 96055 | L1: 0.07168 | Vgg: 0.1127 | SW: 0.03 | Sync: 16.85 | DW: 0.025 | Percep: 1.651 | Fake: 0.0, Real: 0.0 | Load: 0.02459, Train: 0.4159
Step 96056 | L1: 0.0714 | Vgg: 0.1126 | SW: 0.03 | Sync: 16.61 | DW: 0.025 | Percep: 1.652 | Fake: 0.0, Real: 0.0 | Load: 0.02444, Train: 0.4452
Step 96057 | L1: 0.07118 | Vgg: 0.1125 | SW: 0.03 | Sync: 16.79 | DW: 0.025 | Percep: 1.652 | Fake: 0.0, Real: 0.0 | Load: 0.02652, Train: 0.4225
Step 96058 | L1: 0.07082 | Vgg: 0.1119 | SW: 0.03 | Sync: 17.4 | DW: 0.025 | Percep: 1.653 | Fake: 0.0, Real: 0.0 | Load: 0.02458, Train: 0.4285
Step 96059 | L1: 0.07068 | Vgg: 0.1117 | SW: 0.03 | Sync: 17.56 | DW: 0.025 | Percep: 1.653 | Fake: 0.0, Real: 0.0 | Load: 0.02448, Train: 0.4438
Step 96060 | L1: 0.07046 | Vgg: 0.1116 | SW: 0.03 | Sync: 17.72 | DW: 0.025 | Percep: 1.653 | Fake: 0.0, Real: 0.0 | Load: 0.02721, Train: 0.5796
Step 96061 | L1: 0.07064 | Vgg: 0.1112 | SW: 0.03 | Sync: 17.5 | DW: 0.025 | Percep: 1.654 | Fake: 0.0, Real: 0.0 | Load: 0.02392, Train: 0.4356
Step 96062 | L1: 0.07025 | Vgg: 0.1106 | SW: 0.03 | Sync: 17.63 | DW: 0.025 | Percep: 1.654 | Fake: 0.0, Real: 0.0 | Load: 0.04175, Train: 0.4448
Step 96063 | L1: 0.07025 | Vgg: 0.1102 | SW: 0.03 | Sync: 17.79 | DW: 0.025 | Percep: 1.654 | Fake: 0.0, Real: 0.0 | Load: 0.03181, Train: 0.4338
Step 96064 | L1: 0.07019 | Vgg: 0.1101 | SW: 0.03 | Sync: 17.53 | DW: 0.025 | Percep: 1.654 | Fake: 0.0, Real: 0.0 | Load: 0.02574, Train: 0.4416
Step 96065 | L1: 0.07037 | Vgg: 0.1104 | SW: 0.03 | Sync: 17.29 | DW: 0.025 | Percep: 1.655 | Fake: 0.0, Real: 0.0 | Load: 0.02357, Train: 0.4354
Step 96066 | L1: 0.07028 | Vgg: 0.1106 | SW: 0.03 | Sync: 17.46 | DW: 0.025 | Percep: 1.655 | Fake: 0.0, Real: 0.0 | Load: 0.02383, Train: 0.4413
Step 96067 | L1: 0.07029 | Vgg: 0.1108 | SW: 0.03 | Sync: 17.62 | DW: 0.025 | Percep: 1.656 | Fake: 0.0, Real: 0.0 | Load: 0.02543, Train: 0.4208
Step 96068 | L1: 0.07037 | Vgg: 0.1113 | SW: 0.03 | Sync: 17.39 | DW: 0.025 | Percep: 1.656 | Fake: 0.0, Real: 0.0 | Load: 0.02392, Train: 0.4229
Step 96069 | L1: 0.07057 | Vgg: 0.1117 | SW: 0.03 | Sync: 17.89 | DW: 0.025 | Percep: 1.657 | Fake: 0.0, Real: 0.0 | Load: 0.02378, Train: 0.4392
Step 96070 | L1: 0.07035 | Vgg: 0.1118 | SW: 0.03 | Sync: 18.01 | DW: 0.025 | Percep: 1.657 | Fake: 0.0, Real: 0.0 | Load: 0.02606, Train: 0.6
Step 96071 | L1: 0.0707 | Vgg: 0.1121 | SW: 0.03 | Sync: 17.8 | DW: 0.025 | Percep: 1.657 | Fake: 0.0, Real: 0.0 | Load: 0.02403, Train: 0.4518
Step 96072 | L1: 0.0707 | Vgg: 0.1123 | SW: 0.03 | Sync: 17.62 | DW: 0.025 | Percep: 1.657 | Fake: 0.0, Real: 0.0 | Load: 0.02394, Train: 0.4573
Step 96073 | L1: 0.0708 | Vgg: 0.1128 | SW: 0.03 | Sync: 17.42 | DW: 0.025 | Percep: 1.657 | Fake: 0.0, Real: 0.0 | Load: 0.02756, Train: 0.4328
Step 96074 | L1: 0.0707 | Vgg: 0.1123 | SW: 0.03 | Sync: 17.22 | DW: 0.025 | Percep: 1.657 | Fake: 0.0, Real: 0.0 | Load: 0.0353, Train: 0.4295
Step 96075 | L1: 0.07046 | Vgg: 0.1122 | SW: 0.03 | Sync: 17.04 | DW: 0.025 | Percep: 1.657 | Fake: 0.0, Real: 0.0 | Load: 0.02502, Train: 0.4363
Step 96076 | L1: 0.07052 | Vgg: 0.1126 | SW: 0.03 | Sync: 16.87 | DW: 0.025 | Percep: 1.658 | Fake: 0.0, Real: 0.0 | Load: 0.02554, Train: 0.4457
Step 96077 | L1: 0.07072 | Vgg: 0.1127 | SW: 0.03 | Sync: 16.7 | DW: 0.025 | Percep: 1.658 | Fake: 0.0, Real: 0.0 | Load: 0.02436, Train: 0.4277
Step 96078 | L1: 0.07071 | Vgg: 0.113 | SW: 0.03 | Sync: 16.5 | DW: 0.025 | Percep: 1.658 | Fake: 0.0, Real: 0.0 | Load: 0.03784, Train: 0.4264
Step 96079 | L1: 0.07068 | Vgg: 0.1128 | SW: 0.03 | Sync: 16.63 | DW: 0.025 | Percep: 1.658 | Fake: 0.0, Real: 0.0 | Load: 0.03209, Train: 0.4181
Step 96080 | L1: 0.07051 | Vgg: 0.1127 | SW: 0.03 | Sync: 16.46 | DW: 0.025 | Percep: 1.659 | Fake: 0.0, Real: 0.0 | Load: 0.03121, Train: 0.5721
Step 96081 | L1: 0.0707 | Vgg: 0.1129 | SW: 0.03 | Sync: 16.58 | DW: 0.025 | Percep: 1.659 | Fake: 0.0, Real: 0.0 | Load: 0.02445, Train: 0.4629
Step 96082 | L1: 0.07047 | Vgg: 0.1128 | SW: 0.03 | Sync: 16.7 | DW: 0.025 | Percep: 1.659 | Fake: 0.0, Real: 0.0 | Load: 0.0254, Train: 0.4283
Step 96083 | L1: 0.07039 | Vgg: 0.1127 | SW: 0.03 | Sync: 16.83 | DW: 0.025 | Percep: 1.659 | Fake: 0.0, Real: 0.0 | Load: 0.02372, Train: 0.4182
